City,Total
"Brewer, ME",267
"Portland, OR",83
"Chicago, IL",83
"Seattle, WA",78
"Denver, CO",77
"Milwaukee, WI",75
"San Diego, CA",73
"Philadelphia, PA",65
"Columbus, OH",61
"Brewerton, NY",50
